@relation 'parsejson'
@attribute probe_id numeric
% ping.py
@attribute ping_min numeric %% minimum ping RTT
@attribute ping_from string %% ping source IP
@attribute ping_asn numeric %% source ASN
@attribute ping_net string  %% source network name
% traceroute.py
@attribute tr_hopcount numeric %% number of public-ip hops to target
@attribute tr_aslen numeric    %% number of distinct ASes on the path
@attribute tr_exit_rtt numeric %% exit AS: max. RTT
@attribute tr_exit_asn numeric %% exit AS: last known ASN before target
@attribute tr_exit_net string  %% exit AS: network name
% ipv6.py
@attribute ipv6_rt numeric    %% response time
@attribute ipv6_size numeric  %% response size
@attribute ipv6_flags numeric %% header bit flags (decimal)
@attribute ipv6_rcode numeric %% response code
@attribute ipv6_rdata string  %% rdata of first reply
% qname.py
@attribute qname_rt numeric   %% reply time
@attribute qname_size numeric %% size of the reply
@attribute qname_ok numeric   %% 1 if letter case ok
@attribute qname_rdata string %% rdata of first reply
% tcp.py
@attribute tcp_rt numeric      %% reply time
@attribute tcp_size numeric    %% size of the reply
@attribute tcp_flags numeric   %% header bit flags (decimal)
@attribute tcp_rcode numeric   %% response code
% hostname.py
@attribute hostname_rt numeric    %% response time
@attribute hostname_size numeric  %% response size
@attribute hostname_flags numeric %% header bit flags (decimal)
@attribute hostname_rcode numeric %% response code
@attribute hostname_resp string   %% rdata of first answer
% version.py
@attribute version_rt numeric    %% response time
@attribute version_size numeric  %% response size
@attribute version_flags numeric %% header bit flags (decimal)
@attribute version_rcode numeric %% response code
@attribute version_resp string   %% rdata of first answer
% serverid.py
@attribute serverid_rt numeric    %% response time
@attribute serverid_size numeric  %% response size
@attribute serverid_flags numeric %% header bit flags (decimal)
@attribute serverid_rcode numeric %% response code
@attribute serverid_resp string   %% rdata of first answer
% dsfail.py
@attribute dsfail_rt numeric    %% response time
@attribute dsfail_size numeric  %% response size
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_rdata string  %% rdata of first reply
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
@attribute dnskey_qcount numeric %% query count
@attribute dnskey_acount numeric %% answer count
@attribute dnskey_nscount numeric %% authority count
@attribute dnskey_arcount numeric %% additional count
% nxdomain.py
@attribute nxd_rt numeric    %% response time
@attribute nxd_size numeric  %% response size
@attribute nxd_flags numeric %% header bit flags (decimal)
@attribute nxd_rcode numeric %% response code
@attribute nxd_rdata string  %% rdata of first answer
@attribute nxd_asn numeric   %% answer ASN
@attribute nxd_name string   %% answer network name
% whoami.py
@attribute whoami_rt numeric  %% response time
@attribute whoami_ip string   %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
@attribute whoami_net string  %% resolver network name
@data
2,27.0,145.130.246.30,1136,KPN_BV,10,2,27.7,8737,KPN_BV,87.3,74,33152,0,2607:f740:d::f77,81.9,46,1,31.13.64.35,148.5,46,33152,0,74.5,31,33154,2,?,74.5,30,33154,2,?,88.7,38,33154,2,?,88.4,35,32898,2,?,85.6,31,33664,0,1,0,0,1,105.9,130,33155,3,?,-1,?,85.4,173.194.170.65,15169,GOOGLE_INC
3,6.7,62.251.17.184,3265,XS4ALL_INTERNET_BV,10,3,3.4,1200,AMSTERDAM_INTERNET_EXCHANGE_BV,79.9,74,33152,0,2607:f740:d::f77,54.6,46,1,31.13.64.35,111.9,46,33152,0,54.6,31,33154,2,?,54.4,30,33154,2,?,77.7,38,33154,2,?,66.7,35,32898,2,?,62.8,31,33664,0,1,0,0,1,97.2,130,33155,3,?,-1,?,58.2,173.194.169.74,15169,GOOGLE_INC
4,19.8,83.163.50.165,3265,XS4ALL_INTERNET_BV,10,3,16.2,1200,AMSTERDAM_INTERNET_EXCHANGE_BV,74.3,74,33152,0,2607:f740:d::f77,66.9,46,1,31.13.64.35,132.8,46,33152,0,67.1,31,33154,2,?,67.2,30,33154,2,?,79.8,38,33154,2,?,76.5,35,32898,2,?,76.5,31,33664,0,1,0,0,1,96.2,130,33155,3,?,-1,?,68.3,173.194.170.65,15169,GOOGLE_INC
7,14.6,94.214.87.41,9143,ZIGGO,9,3,11.8,6830,LIBERTY_GLOBAL_OPERATIONS_BV,69.5,74,33152,0,2607:f740:d::f77,62.6,46,1,31.13.64.35,121.8,46,33152,0,65.2,31,33154,2,?,68.8,30,33154,2,?,74.1,38,33154,2,?,65.8,35,32898,2,?,80.1,31,33664,0,1,0,0,1,86.7,130,33155,3,?,-1,?,71.7,74.125.47.154,15169,GOOGLE_INC
8,9.9,83.68.21.139,3265,XS4ALL_INTERNET_BV,10,3,6.7,1200,AMSTERDAM_INTERNET_EXCHANGE_BV,63.2,74,33152,0,2607:f740:d::f77,57.7,46,1,31.13.64.35,114.7,46,33152,0,62.4,31,33154,2,?,57.1,30,33154,2,?,69.9,38,33154,2,?,62.1,35,32898,2,?,65.4,31,33664,0,1,0,0,1,87.2,130,33155,3,?,-1,?,63.9,74.125.181.10,15169,GOOGLE_INC
9,5.9,193.0.0.78,3333,RESEAUX_IP_EUROPEENS_NETWORK_COORDINATION_CENTRE_RIPE_NCC,8,3,2.5,1200,AMSTERDAM_INTERNET_EXCHANGE_BV,63.9,74,33152,0,2607:f740:d::f77,54.2,46,1,157.240.20.35,111.2,46,33152,0,54.5,31,33154,2,?,55.6,30,33154,2,?,80.8,38,33154,2,?,74.9,35,32898,2,?,62.9,31,33664,0,1,0,0,1,91.5,130,33155,3,?,-1,?,66.3,173.194.170.65,15169,GOOGLE_INC
11,16.0,195.70.5.89,12333,DFI_SERVICE_SA,6,3,10.8,12333,DFI_SERVICE_SA,68.8,74,33152,0,2607:f740:d::f77,62.7,46,1,185.60.216.35,124.9,46,33152,0,64.5,31,33154,2,?,63.8,30,33154,2,?,76.0,38,33154,2,?,65.1,35,32898,2,?,71.1,31,33664,0,1,0,0,1,114.8,131,33155,3,?,-1,?,81.2,173.194.169.74,15169,GOOGLE_INC
16,10.7,92.110.223.110,6830,LIBERTY_GLOBAL_OPERATIONS_BV,11,3,7.4,1200,AMSTERDAM_INTERNET_EXCHANGE_BV,69.9,74,33152,0,2607:f740:d::f77,62.9,46,1,31.13.64.35,115.6,46,33152,0,63.3,31,33154,2,?,63.2,30,33154,2,?,85.8,38,33154,2,?,60.6,35,32898,2,?,71.8,31,33664,0,1,0,0,1,87.5,131,33155,3,?,-1,?,65.5,173.194.170.65,15169,GOOGLE_INC
20,15.4,82.95.178.49,3265,XS4ALL_INTERNET_BV,10,3,12.2,1200,AMSTERDAM_INTERNET_EXCHANGE_BV,67.6,74,33152,0,2607:f740:d::f77,62.5,46,1,157.240.20.35,120.9,46,33152,0,62.8,31,33154,2,?,61.8,30,33154,2,?,74.7,38,33154,2,?,64.3,35,32898,2,?,75.5,31,33664,0,1,0,0,1,87.8,131,33155,3,?,-1,?,64.2,173.194.169.71,15169,GOOGLE_INC
26,13.9,77.248.251.71,6830,LIBERTY_GLOBAL_OPERATIONS_BV,10,2,11.9,6830,LIBERTY_GLOBAL_OPERATIONS_BV,72.2,74,33152,0,2607:f740:d::f77,61.6,46,1,31.13.64.35,128.5,46,33152,0,63.7,31,33154,2,?,62.2,30,33154,2,?,74.1,38,33154,2,?,64.1,35,32898,2,?,70.3,31,33664,0,1,0,0,1,106.3,131,33155,3,?,-1,?,60.7,173.194.169.107,15169,GOOGLE_INC
